MAC1,MAC2,duration,frequency
0012f0bbb688,00054ec291ca,51.6315789473684,76
000fb5ec34a6,0030bde66874,284,2
001195fa35dd,000e35fe55ae,71,1
000cf1af5de1,0012f0e66b40,1735.68421052632,19
000cf1af5de1,0012f0110374,234.63829787234,47
0012f0110374,00053c3737fc,198.081081081081,37
00053c3737fc,000cf1af5de1,644.125,16
000fb5ec34a6,0012f0110374,129.933333333333,15
0012f0f635fa,000e356f1357,180.038461538462,182
0012f0f635fa,0012f0110374,83.2884615384615,208
000e356f1357,0012f0110374,241.391304347826,23
0012f0bbb688,003065a97bb7,96.7719298245614,57
001124eeb582,000fb58ed0e7,639,1
003065a97bb7,0012f082b0ae,475.071428571429,98
0014a5ad9f5b,0012f0110374,120.636363636364,22
00054ec291ca,00054e86b2e1,500.566666666667,30
00054ec291ca,004096ed1367,19.5,2
0012f0bbb688,0014bffb2e20,27.875,56
0012f0bbb688,000f66d91d94,685.666666666667,3
000f66d91d94,000d88dd803a,94,1
001195fa35dd,000fb52eee52,100,4
000fb52eee52,00054ec291ca,509.714285714286,7
001150173da7,00054ec291ca,22,1
00054ec291ca,0012f082b0ae,311.012195121951,82
0012f081c713,00054ec291ca,12,10
0012f081c713,0012f082b0ae,25.1483516483516,182
00095b7ebec0,000e35f7ec4c,25.3333333333333,3
00095b7ebec0,001346df0185,1,1
000e35f7ec4c,001346df0185,17,4
00054ec291ca,001346df0185,3,1
00054ec291ca,000e35fe55ae,48,2
00054ec291ca,000e35f7ec4c,72.2,5
00054ec291ca,000625e449be,413.421052631579,19
0012f0a4b124,00054ec291ca,521.333333333333,6
0012f0a4b124,000e35fe55ae,78.8888888888889,9
001195fa35dd,00904b2f31b2,60,4
0012f04d7fdc,000fb5ec34a6,50.0869565217391,46
0012f04d7fdc,001124a51256,74.7163461538462,208
0012f04d7fdc,00ae42fbe382,6.5,2
000fb5ec34a6,000b7d2eb8fe,918.5,8
0012f04d7fdc,000b7d2eb8fe,76.7809523809524,105
0014a5d8f24d,001124eeb582,19,1
00022d473542,0010c674aa3c,116.918918918919,37
000fb58ed0e7,000e3528f323,1,1
00131abda24c,0011249ceee6,11,1
00022d473542,00904b815985,62.875,8
00053c3737fc,00054e2e3307,928.333333333333,9
00054e2e3307,0012f0110374,199.333333333333,15
00601d29a832,0012f0110374,170.333333333333,3
0012f0d9baad,0012f09832e9,30.2582159624413,213
0012f0a6ca93,0012f0110374,110.5,30
00054ec291ca,0012f09832e9,102.92,25
00054ec291ca,0012f0c6a17f,17.7878787878788,33
00053c3737fc,0012f0a6ca93,112.555555555556,9
000b7d2eb8fe,0012f0110374,485.85,20
000e3528f323,000e35f29016,120,4
000e2efb5233,000e35f7ec4c,78.6428571428571,14
003065cb6149,00022d473542,76,1
0012f0c6a17f,0012f081c713,16.0909090909091,132
0012f081c713,00054ea41e26,47.1111111111111,9
00ae42fbe382,00054ec291ca,154,3
00054ec291ca,0012f0b38047,45,4
0012f0a6ca93,0012f0b38047,153.2,10
0012f09832e9,0012f0a4b124,102.040816326531,49
0012f0a4b124,0012f0b38047,332.363636363636,11
00ae42fbe382,0012f0b38047,119.333333333333,3
0012f0c6a17f,0012f0b38047,34.1860465116279,43
0012f0c8197c,000e356f1357,73.921568627451,51
00904ba7a5a5,000b7d2eb8fe,81.5,2
0012f09832e9,00042380963b,96.3448275862069,29
0012f04d7fdc,000e356f1357,80.5650224215247,223
000b7d2eb8fe,00054e2e3307,646.55,20
000b7d2eb8fe,0012f0c6a17f,16.6666666666667,6
00054e2e3307,0012f0c6a17f,12.7857142857143,14
00054e2e3307,0012f04d7fdc,54.5669642857143,224
000af4b7acda,0012f04d7fdc,30.7101910828025,314
00054ef033f7,000625e449be,196.098484848485,132
000c41d7de06,001150173da7,63,1
000c41d7de06,000625e449be,305.908163265306,196
0030bde66874,0012f04d7fdc,90.3103448275862,58
000625e449be,00054ea41e26,194.304347826087,23
00054ea41e26,00022d6c25c8,13960,1
000c41d7de06,00055da35bfa,566.958333333333,24
