source,destination,start,fin,AP
9d:dd:c7:df:b6:b0,8d:be:d6:70:2b:89,1093886077,1093886091,0
d7:ab:a0:81:a8:ad,00:40:96:a1:2b:89,1093886077,1093886117,0
ff:ff:ff:ff:ff:ff,55:da:37:dd:ff:ff,1093885451,1093885542,0
11:7e:5d:6b:a8:ad,e2:0e:7f:0d:a8:ad,1093885338,1093885934,1
30:17:a5:cc:b7:2d,00:40:96:a1:2b:89,1093886077,1093886078,0
d7:ab:a0:81:a8:ad,8d:be:d6:70:2b:89,1093886082,1093886091,0
30:17:a5:cc:a7:b0,8d:be:d6:70:2b:89,1093886083,1093886104,0
9d:dd:c7:df:a8:ad,00:40:96:a1:2b:89,1093886103,1093886106,0
25:84:b1:64:80:db,6d:83:d3:d8:80:db,1093885307,1093885951,1
12:31:8c:2a:b6:b0,02:fb:1f:4b:80:db,1093885354,1093885994,1
a5:93:b5:91:a7:b0,00:40:96:a1:2b:89,1093885855,1093886142,0
a5:93:b5:91:a8:ad,00:40:96:a1:2b:89,1093886113,1093886141,0
12:31:8c:2a:b6:b0,6e:92:98:ee:80:db,1093885353,1093886018,1
25:84:b1:64:80:db,02:c2:eb:da:80:db,1093885746,1093885805,1
12:31:8c:2a:b6:b0,9a:ff:32:de:80:db,1093885402,1093886011,1
12:31:8c:2a:b6:b0,6e:92:41:a4:80:db,1093885355,1093886009,1
12:31:8c:2a:b6:b0,36:cf:f6:b8:80:db,1093885362,1093885984,1
11:7e:5d:6b:a8:ad,87:89:b8:a7:a8:ad,1093885652,1093885910,1
12:31:8c:2a:b6:b0,72:03:fc:29:80:db,1093885846,1093886008,1
11:7e:5d:6b:a8:ad,6c:03:32:1e:a8:ad,1093885362,1093885953,1
11:7e:5d:6b:a8:ad,82:33:57:4b:a8:ad,1093885460,1093885637,1
6d:d3:23:45:a7:b0,5b:ff:32:de:a7:b0,1093885597,1093886033,1
25:84:b1:64:80:db,c5:fe:32:0c:80:db,1093885460,1093886042,1
ff:ff:ff:ff:ff:ff,55:da:37:dd:c7:42,1093885593,1093886160,0
52:75:fc:df:b7:2d,55:da:37:dd:a7:b0,1093885420,1093886034,0
ff:ff:ff:ff:ff:ff,d4:80:e1:0d:85:e8,1093885211,1093885927,0
25:84:b1:64:80:db,11:60:22:fc:80:db,1093885425,1093885785,0
6d:d3:23:45:a7:b0,11:60:22:fc:a7:b0,1093885386,1093885678,0
12:31:8c:2a:b6:b0,11:60:22:fc:80:db,1093885386,1093885479,0
12:31:8c:2a:b6:b0,c6:f8:d8:5c:80:db,1093885517,1093886077,0
25:84:b1:64:80:db,6a:c0:0c:e6:80:db,1093885896,1093885980,0
ff:ff:ff:ff:ff:ff,8d:be:d6:70:85:e8,1093885876,1093885902,0
11:7e:5d:6b:a8:ad,c6:f8:d8:5c:a8:ad,1093885517,1093886184,0
25:84:b1:64:80:db,b5:11:32:de:80:db,1093885524,1093885898,1
25:84:b1:64:80:db,69:eb:32:cc:80:db,1093885335,1093886057,1
b6:a3:dc:a9:38:16,0b:a7:36:0a:25:96,1093885534,1093885903,1
11:7e:5d:6b:a8:ad,99:46:7c:ea:a8:ad,1093885580,1093885851,0
12:31:8c:2a:b6:b0,02:fb:cb:08:80:db,1093885332,1093886015,1
25:84:b1:64:80:db,d4:23:f8:e0:80:db,1093885184,1093885338,0
11:7e:5d:6b:a8:ad,a9:fe:32:cc:a8:ad,1093885180,1093886059,1
11:7e:5d:6b:a8:ad,0f:f6:ab:13:a8:ad,1093885566,1093885569,1
11:7e:5d:6b:a8:ad,95:03:32:de:a8:ad,1093885624,1093886042,1
11:7e:5d:6b:a8:ad,72:83:d3:d8:a8:ad,1093885943,1093886056,1
11:7e:5d:6b:a8:ad,46:11:32:de:a8:ad,1093885605,1093885872,1
11:7e:5d:6b:a8:ad,cb:46:39:8b:a8:ad,1093885477,1093885930,1
11:7e:5d:6b:a8:ad,ad:9e:f2:ee:a8:ad,1093885561,1093886045,1
